Order_ID,Date,Product,Category,Price,Quantity,Sales,Region,Customer_Type,Payment_Method
1001,2026-01-05,Laptop,Electronics,850,2,1700,North,Regular,Credit Card
1002,2026-01-07,Mouse,Accessories,25,5,125,South,New,PayPal
1003,2026-01-10,Keyboard,Accessories,45,3,135,East,Regular,Cash
1004,2026-01-12,Monitor,Electronics,300,2,600,West,Regular,Credit Card
1005,2026-01-15,Headphones,Accessories,80,4,320,North,New,Debit Card
1006,2026-01-18,Desk,Furniture,250,1,250,South,Regular,Cash
1007,2026-01-20,Chair,Furniture,150,3,450,East,New,Credit Card
1008,2026-01-22,Webcam,Electronics,70,5,350,West,Regular,PayPal
1009,2026-01-25,Printer,Electronics,200,2,400,North,New,Debit Card
1010,2026-01-28,USB Cable,Accessories,15,10,150,South,Regular,Cash
1011,2026-02-02,Laptop,Electronics,850,1,850,East,Regular,Credit Card
1012,2026-02-05,Mouse,Accessories,25,8,200,West,New,PayPal
1013,2026-02-08,Keyboard,Accessories,45,6,270,North,Regular,Debit Card
1014,2026-02-11,Monitor,Electronics,300,3,900,South,Regular,Credit Card
1015,2026-02-14,Headphones,Accessories,80,2,160,East,New,Cash
1016,2026-02-17,Desk,Furniture,250,2,500,West,Regular,Debit Card
1017,2026-02-20,Chair,Furniture,150,4,600,North,New,Credit Card
1018,2026-02-23,Webcam,Electronics,70,3,210,South,Regular,PayPal
1019,2026-02-26,Printer,Electronics,200,1,200,East,New,Cash
1020,2026-03-01,USB Cable,Accessories,15,15,225,West,Regular,Credit Card
1021,2026-03-04,Laptop,Electronics,850,3,2550,North,New,Credit Card
1022,2026-03-07,Mouse,Accessories,25,12,300,South,Regular,Debit Card
1023,2026-03-10,Keyboard,Accessories,45,5,225,East,New,PayPal
1024,2026-03-13,Monitor,Electronics,300,4,1200,West,Regular,Credit Card
1025,2026-03-16,Headphones,Accessories,80,6,480,North,New,Cash
1026,2026-03-19,Desk,Furniture,250,3,750,South,Regular,Debit Card
1027,2026-03-22,Chair,Furniture,150,2,300,East,New,Credit Card
1028,2026-03-25,Webcam,Electronics,70,7,490,West,Regular,PayPal
1029,2026-03-28,Printer,Electronics,200,3,600,North,New,Credit Card
1030,2026-03-31,USB Cable,Accessories,15,20,300,South,Regular,Cash
